Artist,Track,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Stream,Has_youtube,Artist_LOO_stream,Likes_rate,Comments_rate,Mood_quadrant,Party_index,Key_factor,Licensed_video_combo
BK,Lugar na mesa,album,0.808,0.588,-4.916,0.0581,0.0426,6.85e-4,0.136,0.111,124.994,179488,455831,2194472,TRUE,6371603.5,0.03614058719130555,8.314484973597671e-4,Anger/Unpleasant,0.475104,8,Licensed_official
Dino James,WOH,single,0.753,0.594,-6.948,0.307,0.536,3.8e-4,0.304,0.478,189.909,328421,19100435,13593263,TRUE,6677148.5,0.03775322394489968,0.001148926712925648,Anger/Unpleasant,0.44728199999999996,3,Unlicensed_official
Capital Inicial,À Sua Maneira (De Música Ligeira),album,0.628,0.762,-6.017,0.0264,0.00581,6.84e-5,0.39,0.247,110.01,301467,39517801,20147999,TRUE,19295233,0.007642808869855891,2.0051723019709524e-4,Anger/Unpleasant,0.478536,11,Licensed_official
Travis Scott,Goosebumps - Remix,single,0.841,0.593,-7.846,0.0379,0.418,0,0.124,0.808,124.917,162803,10205310,603446629,TRUE,276085666,0.021083435975977213,6.601465315605307e-4,Happy/Energetic,0.49871299999999996,1,Licensed_official
Gotye,Hearts A Mess,album,0.789,0.524,-9.542,0.0368,0.0701,0.262,0.193,0.538,125.023,365440,29459085,31881306,TRUE,17493508,0.008167701067429624,4.411542313686932e-4,Happy/Energetic,0.413436,5,Licensed_official
NCT DREAM,Life Is Still Going On,album,0.681,0.749,-3.436,0.0701,0.158,0,0.303,0.676,150.039,218587,10972776,61191746,TRUE,39761927.5,0.0838756755810927,0.002573095450048374,Happy/Energetic,0.510069,0,Licensed_official
Böhse Onkelz,Auf gute Freunde,album,0.614,0.838,-6.467,0.0423,0.00913,1.42e-6,0.0835,0.49,139.955,317827,27496751,63064627,TRUE,15529915,0.003074654165504863,1.382708815306943e-4,Anger/Unpleasant,0.514532,11,Licensed_official
Guè,Tuta Maphia (feat. Paky),album,0.721,0.629,-4.802,0.124,0.401,0,0.298,0.324,87.971,212146,1261806,4242607,TRUE,3573898,0.013469582487323726,4.152777843820682e-4,Anger/Unpleasant,0.453509,9,Licensed_official
Estopa,Paseo,album,0.726,0.55,-9.676,0.0445,0.432,0,0.155,0.84,102.021,216440,6376678,40002969,TRUE,58892021,0.0039352778986174305,4.1871331749854705e-5,Happy/Energetic,0.39930000000000004,0,Unlicensed_unofficial
Adolescent's Orquesta,Hoy Aprendí,album,0.727,0.662,-14.929,0.0428,0.358,3.54e-5,0.151,0.943,102.721,249156,3183178,15931977,TRUE,45205321.5,0.01071116480894025,4.618026387465608e-5,Happy/Energetic,0.48127400000000004,2,Licensed_official
Little Big Town,Day Drinking,album,0.591,0.959,-2.515,0.057,0.103,0,0.779,0.86,163.883,178840,17012920,62871959,TRUE,83893430,0.004351340040392831,7.570716843434285e-5,Happy/Energetic,0.566769,9,Licensed_official
The Kooks,Junk Of The Heart (Happy),album,0.604,0.894,-5,0.037,0.0212,0,0.0299,0.901,145.017,187253,22930028,138391211,TRUE,87053668,0.0069968078538761485,1.4278220680759743e-4,Happy/Energetic,0.539976,2,Licensed_official
Cheat Codes,Lean On Me,album,0.686,0.738,-5.802,0.287,0.0703,0,0.0505,0.45,101.829,149857,4880470,75326866,TRUE,57352925,0.015145262648884225,1.8174479097300054e-4,Anger/Unpleasant,0.506268,9,Licensed_official
Elliott Smith,Angeles,album,0.53,0.0993,-23.548,0.0549,0.86,0.2,0.153,0.588,118.139,176827,352641,56578476,TRUE,28218035.5,0.011416709911779968,2.7790302318788794e-4,Calm/Relaxing,0.052629,4,Unlicensed_unofficial
Timbaland,Say Something (Featuring Drake),album,0.555,0.713,-4.549,0.0911,0.0845,0,0.712,0.725,79.934,240920,60874841,39601929,TRUE,150396396,0.004672521444450261,3.0230879781681895e-4,Happy/Energetic,0.39571500000000004,11,Licensed_official
Dave Matthews Band,Ants Marching,album,0.637,0.856,-4.34,0.034,0.0187,1.99e-5,0.0157,0.846,113.32,271187,6419682,77750182,TRUE,34528391,0.004718146475168085,3.1699389471316494e-4,Happy/Energetic,0.545272,2,Licensed_official
Claudio Abbado,"Requiem in D Minor, K. 626: 3. Sequentia: Dies irae - Live",album,0.46,0.387,-13.384,0.0311,0.934,0.279,0.48,0.513,72.376,119000,17814,4703095,TRUE,4998720,0.033456831705400245,0.0013472549680026945,Calm/Relaxing,0.17802,7,Unlicensed_unofficial
My Chemical Romance,Helena,album,0.356,0.96,-3.487,0.104,0.0142,0,0.209,0.0857,125.921,204733,177784104,305131207,TRUE,204493320,0.00820422617761147,3.9491157207170784e-4,Anger/Unpleasant,0.34175999999999995,4,Licensed_official
Lil Tecca,Ransom,album,0.745,0.642,-6.257,0.287,0.0204,0,0.0658,0.226,179.974,131240,417959685,1087264193,TRUE,185785225,0.010460664405946233,3.2957963397833455e-4,Anger/Unpleasant,0.47829,7,Unlicensed_unofficial
Shaan,My Dil Goes Mmmm,album,0.693,0.797,-7.392,0.0704,0.343,0.00125,0.0673,0.706,90.997,452833,48574153,18848077,TRUE,17034162,0.008263592367735162,1.4872106982493345e-4,Happy/Energetic,0.552321,6,Licensed_official
Two Door Cinema Club,This Is the Life,album,0.457,0.805,-5.434,0.103,5.44e-5,0.0123,0.0874,0.387,136.02,210733,4080234,43210851,TRUE,78264607.5,0.006159450658957305,3.74978493880498e-4,Anger/Unpleasant,0.367885,4,Unlicensed_unofficial
Aleks Syntek,Tú Necesitas,album,0.789,0.728,-6.63,0.0427,0.0155,8.62e-4,0.0916,0.926,106.999,300693,14528324,26559573,TRUE,54248950,0.00487895231411414,2.7009309539076907e-4,Happy/Energetic,0.574392,10,Licensed_official
Franco De Vita,Te Amo,album,0.584,0.636,-6.654,0.0517,0.539,5.94e-6,0.871,0.337,129.24,218760,6130533,129381121,TRUE,58546820,0.0074784688378645055,1.7290503125910912e-4,Anger/Unpleasant,0.371424,10,Unlicensed_official
Al Green,Let's Stay Together,album,0.756,0.401,-10.702,0.0526,0.582,0.011,0.0541,0.514,101.954,199396,6009417,415197366,TRUE,27483881,0.016151982796334487,5.870785801684257e-4,Calm/Relaxing,0.30315600000000004,7,Licensed_official
Megan Thee Stallion,Megan's Piano,album,0.953,0.621,-7.565,0.154,0.00799,4.87e-6,0.307,0.378,132.063,113430,12474424,81932476,TRUE,263853232.5,0.010940224574697798,1.460588480878957e-4,Anger/Unpleasant,0.5918129999999999,11,Licensed_official
Ado,Usseewa,album,0.526,0.976,-1.084,0.0799,0.00459,0,0.102,0.554,178.129,206893,262747530,113926600,TRUE,44191843,0.009551199206325555,8.826457854808379e-4,Happy/Energetic,0.513376,11,Unlicensed_official
